"year","pct_activity","gear"
2012,0.067170391339392,"Longlines"
2013,0.0331936966273028,"Longlines"
2014,0.0623067037861519,"Longlines"
2015,0.130040188990807,"Longlines"
2016,0.157603683616544,"Longlines"
2017,0.182709219254161,"Longlines"
2018,0.10763459216668,"Longlines"
2019,0.0427175781063092,"Longlines"
2012,0.0877669153659191,"Purse seines"
2013,0.0889043858175096,"Purse seines"
2014,0.0893352249319222,"Purse seines"
2015,0.0440984043771137,"Purse seines"
2016,0.0344892354988082,"Purse seines"
2017,0.0352898598064919,"Purse seines"
2018,0.0339735989133809,"Purse seines"
2019,0.144362642537217,"Purse seines"
