"mmsi","year","month","hours","kir","post","date"
416003822,2016,10,652.644722222222,FALSE,TRUE,2016-10-01
440357000,2016,10,72.0605555555556,FALSE,TRUE,2016-10-01
432726000,2016,10,77.1769444444445,FALSE,TRUE,2016-10-01
338873000,2016,10,175.700416666667,FALSE,TRUE,2016-10-01
432626000,2016,10,620.135,FALSE,TRUE,2016-10-01
432984000,2016,10,676.768194444445,FALSE,TRUE,2016-10-01
431798000,2016,10,361.441805555556,FALSE,TRUE,2016-10-01
412420848,2016,10,675.269166666667,FALSE,TRUE,2016-10-01
412328759,2016,10,686.235972222222,FALSE,TRUE,2016-10-01
412463904,2016,10,652.93125,FALSE,TRUE,2016-10-01
412694640,2016,10,394.639166666667,FALSE,TRUE,2016-10-01
577145000,2016,10,610.968611111111,FALSE,TRUE,2016-10-01
416342000,2016,10,668.784444444445,FALSE,TRUE,2016-10-01
520173000,2016,10,458.190138888889,FALSE,TRUE,2016-10-01
412420851,2016,10,578.321666666667,FALSE,TRUE,2016-10-01
577146000,2016,10,675.917222222222,FALSE,TRUE,2016-10-01
520176000,2016,10,431.035694444445,FALSE,TRUE,2016-10-01
416122800,2016,10,654.604583333333,FALSE,TRUE,2016-10-01
431704420,2016,10,517.151805555555,FALSE,TRUE,2016-10-01
520243000,2016,10,288.447222222222,FALSE,TRUE,2016-10-01
412440029,2016,10,608.753472222222,FALSE,TRUE,2016-10-01
520177000,2016,10,225.879027777778,FALSE,TRUE,2016-10-01
412470420,2016,10,454.348055555556,FALSE,TRUE,2016-10-01
416168600,2016,10,659.208055555556,FALSE,TRUE,2016-10-01
412993000,2016,10,372.928333333333,FALSE,TRUE,2016-10-01
412420876,2016,10,655.499722222222,FALSE,TRUE,2016-10-01
431680000,2016,10,126.666805555556,FALSE,TRUE,2016-10-01
416631000,2016,10,672.976111111111,FALSE,TRUE,2016-10-01
577290000,2016,10,698.783055555555,FALSE,TRUE,2016-10-01
412200079,2016,10,720.418194444444,FALSE,TRUE,2016-10-01
548905000,2016,10,261.181805555556,FALSE,TRUE,2016-10-01
416002469,2016,10,445.088333333333,FALSE,TRUE,2016-10-01
412439607,2016,10,189.338055555556,FALSE,TRUE,2016-10-01
520225000,2016,10,622.111111111111,FALSE,TRUE,2016-10-01
416002681,2016,10,694.139861111111,FALSE,TRUE,2016-10-01
367170000,2016,10,218.336388888889,FALSE,TRUE,2016-10-01
510056000,2016,10,112.823194444444,FALSE,TRUE,2016-10-01
412331014,2016,10,368.419583333333,FALSE,TRUE,2016-10-01
431251000,2016,10,374.445694444444,FALSE,TRUE,2016-10-01
548227100,2016,10,179.352916666667,FALSE,TRUE,2016-10-01
416004043,2016,10,581.975,FALSE,TRUE,2016-10-01
412371198,2016,10,629.128611111111,FALSE,TRUE,2016-10-01
431070000,2016,10,620.629583333333,FALSE,TRUE,2016-10-01
412691530,2016,10,585.148611111111,FALSE,TRUE,2016-10-01
412371197,2016,10,148.173194444444,FALSE,TRUE,2016-10-01
553111740,2016,10,25.2690277777778,FALSE,TRUE,2016-10-01
441584000,2016,10,737.054583333333,FALSE,TRUE,2016-10-01
553111751,2016,10,207.74375,FALSE,TRUE,2016-10-01
416411000,2016,10,265.877916666667,FALSE,TRUE,2016-10-01
416242900,2016,10,174.254444444444,FALSE,TRUE,2016-10-01
538060016,2016,10,183.27125,FALSE,TRUE,2016-10-01
553111736,2016,10,70.1127777777778,FALSE,TRUE,2016-10-01
412371206,2016,10,695.595277777778,FALSE,TRUE,2016-10-01
510067000,2016,10,177.792222222222,FALSE,TRUE,2016-10-01
431155000,2016,10,140.39,FALSE,TRUE,2016-10-01
510065000,2016,9,159.804444444444,FALSE,TRUE,2016-09-01
432549000,2016,9,204.815416666667,FALSE,TRUE,2016-09-01
431866000,2016,9,371.029722222222,FALSE,TRUE,2016-09-01
431128000,2016,9,145.705277777778,FALSE,TRUE,2016-09-01
431399000,2016,9,74.6675,FALSE,TRUE,2016-09-01
412420905,2016,9,702.702361111111,FALSE,TRUE,2016-09-01
431798000,2016,9,560.647083333333,FALSE,TRUE,2016-09-01
441072000,2016,9,701.462916666667,FALSE,TRUE,2016-09-01
412328759,2016,9,594.877916666667,FALSE,TRUE,2016-09-01
412694640,2016,9,679.831111111111,FALSE,TRUE,2016-09-01
440298000,2016,9,528.345,FALSE,TRUE,2016-09-01
431101320,2016,9,587.365,FALSE,TRUE,2016-09-01
520137000,2016,9,149.254027777778,FALSE,TRUE,2016-09-01
416003741,2016,9,525.305694444444,FALSE,TRUE,2016-09-01
431704420,2016,9,651.508472222222,FALSE,TRUE,2016-09-01
577308000,2016,9,709.584166666667,FALSE,TRUE,2016-09-01
416004582,2016,9,578.901527777778,FALSE,TRUE,2016-09-01
520243000,2016,9,660.128333333333,FALSE,TRUE,2016-09-01
412201818,2016,9,581.521388888889,FALSE,TRUE,2016-09-01
412331123,2016,9,266.342777777778,FALSE,TRUE,2016-09-01
576847000,2016,9,659.796527777778,FALSE,TRUE,2016-09-01
412302021,2016,9,719.519444444445,FALSE,TRUE,2016-09-01
431200910,2016,9,19.2830555555556,FALSE,TRUE,2016-09-01
431795000,2016,9,116.403472222222,FALSE,TRUE,2016-09-01
416004073,2016,9,470.321805555556,FALSE,TRUE,2016-09-01
412440029,2016,9,507.041666666667,FALSE,TRUE,2016-09-01
553111743,2016,9,196.152916666667,FALSE,TRUE,2016-09-01
538060007,2016,9,203.489166666667,FALSE,TRUE,2016-09-01
416168500,2016,9,674.495416666667,FALSE,TRUE,2016-09-01
412370008,2016,9,564.684583333333,FALSE,TRUE,2016-09-01
553111790,2016,9,79.7111111111111,FALSE,TRUE,2016-09-01
338793000,2016,9,207.788194444444,FALSE,TRUE,2016-09-01
367170000,2016,9,142.349305555556,FALSE,TRUE,2016-09-01
367767000,2016,9,180.380416666667,FALSE,TRUE,2016-09-01
367179000,2016,9,230.168055555556,FALSE,TRUE,2016-09-01
338298000,2016,9,210.198194444444,FALSE,TRUE,2016-09-01
412677470,2016,9,658.013194444445,FALSE,TRUE,2016-09-01
548895000,2016,9,175.336805555556,FALSE,TRUE,2016-09-01
431703710,2016,9,545.713333333333,FALSE,TRUE,2016-09-01
441584000,2016,9,581.92,FALSE,TRUE,2016-09-01
432966000,2016,9,133.898333333333,FALSE,TRUE,2016-09-01
416247900,2016,9,109.391111111111,FALSE,TRUE,2016-09-01
553111740,2016,9,96.8904166666667,FALSE,TRUE,2016-09-01
416003822,2016,9,583.31125,FALSE,TRUE,2016-09-01
412371206,2016,9,424.390555555556,FALSE,TRUE,2016-09-01
510067000,2016,9,3.72472222222222,FALSE,TRUE,2016-09-01
366270000,2016,9,213.379166666667,FALSE,TRUE,2016-09-01
416239700,2016,9,306.466805555556,FALSE,TRUE,2016-09-01
412329426,2016,9,459.45,FALSE,TRUE,2016-09-01
440934000,2016,9,527.39,FALSE,TRUE,2016-09-01
416004453,2016,9,516.425416666667,FALSE,TRUE,2016-09-01
440167000,2016,9,20.97375,FALSE,TRUE,2016-09-01
557005600,2016,9,274.466944444444,FALSE,TRUE,2016-09-01
553111788,2016,9,310.9525,FALSE,TRUE,2016-09-01
584779200,2016,9,45.9858333333333,FALSE,TRUE,2016-09-01
416248700,2016,9,223.578472222222,FALSE,TRUE,2016-09-01
412371222,2016,9,199.247083333333,FALSE,TRUE,2016-09-01
431308000,2016,9,31.2773611111111,FALSE,TRUE,2016-09-01
432845000,2016,9,103.069305555556,FALSE,TRUE,2016-09-01
