"post","treated","baci_relaxed","baci_strict","flag","mmsi","year","year_c","month","month_c","date","hours","gear"
FALSE,FALSE,TRUE,TRUE,"ECU",735057587,2012,"2012",5,"5",2012-05-01,4.77013888888889,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"JPN",431070000,2012,"2012",6,"6",2012-06-01,714.243194444444,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431251000,2012,"2012",6,"6",2012-06-01,299.240138888889,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431253000,2012,"2012",6,"6",2012-06-01,710.174166666667,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431725000,2012,"2012",6,"6",2012-06-01,616.836527777778,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431798000,2012,"2012",6,"6",2012-06-01,636.97625,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440280000,2012,"2012",6,"6",2012-06-01,203.464166666667,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440298000,2012,"2012",6,"6",2012-06-01,554.147083333333,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440731000,2012,"2012",6,"6",2012-06-01,674.371666666667,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440772000,2012,"2012",6,"6",2012-06-01,656.459861111111,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440885000,2012,"2012",6,"6",2012-06-01,660.3775,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440944000,2012,"2012",6,"6",2012-06-01,622.532361111111,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440946000,2012,"2012",6,"6",2012-06-01,698.205694444444,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",441072000,2012,"2012",6,"6",2012-06-01,632.650972222222,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",441584000,2012,"2012",6,"6",2012-06-01,678.967777777778,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",432261000,2012,"2012",6,"6",2012-06-01,7.07708333333333,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060007,2012,"2012",6,"6",2012-06-01,11.88625,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060008,2012,"2012",6,"6",2012-06-01,14.0858333333333,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060015,2012,"2012",6,"6",2012-06-01,7.07166666666667,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060017,2012,"2012",6,"6",2012-06-01,9.03597222222222,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060019,2012,"2012",6,"6",2012-06-01,4.86652777777778,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"JPN",431070000,2012,"2012",7,"7",2012-07-01,703.3925,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431251000,2012,"2012",7,"7",2012-07-01,676.99625,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431253000,2012,"2012",7,"7",2012-07-01,643.8325,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431725000,2012,"2012",7,"7",2012-07-01,694.008472222222,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431798000,2012,"2012",7,"7",2012-07-01,684.520138888889,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440298000,2012,"2012",7,"7",2012-07-01,497.88625,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440731000,2012,"2012",7,"7",2012-07-01,697.349444444444,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440772000,2012,"2012",7,"7",2012-07-01,648.333194444444,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440885000,2012,"2012",7,"7",2012-07-01,724.945277777778,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440944000,2012,"2012",7,"7",2012-07-01,621.633055555556,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440946000,2012,"2012",7,"7",2012-07-01,740.870416666667,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",441072000,2012,"2012",7,"7",2012-07-01,632.701527777778,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",441584000,2012,"2012",7,"7",2012-07-01,722.345555555556,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",432261000,2012,"2012",7,"7",2012-07-01,5.30472222222222,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060007,2012,"2012",7,"7",2012-07-01,9.11916666666667,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060008,2012,"2012",7,"7",2012-07-01,2.98263888888889,"purse_seines"
