mmsi,year,inferred_label,label_score,inferred_label_allyears
111111777,2015,,,trawlers
640226000,2016,purse_seines,0.999992966652,purse_seines
532461,2016,purse_seines,0.999985456467,purse_seines
9102875,2014,drifting_longlines,0.531005773693,drifting_longlines
568169862,2014,drifting_longlines,1.0,drifting_longlines
412331122,2016,trawlers,0.964682787657,trawlers
412331123,2015,trawlers,0.508911013603,trawlers
412328731,2012,,,purse_seines
412439605,2016,purse_seines,0.999514549971,purse_seines
413034000,2016,purse_seines,0.999241173267,purse_seines
412328731,2015,purse_seines,0.978664815426,purse_seines
412371182,2015,purse_seines,0.999513745308,purse_seines
412439605,2015,purse_seines,0.997015327215,purse_seines
412371182,2013,purse_seines,0.916314721107,purse_seines
412371181,2016,purse_seines,0.995458394289,purse_seines
412328729,2014,purse_seines,0.94291716814,purse_seines
412328731,2014,purse_seines,0.999644815922,purse_seines
412328729,2016,,,purse_seines
413034000,2014,purse_seines,0.999996542931,purse_seines
412439605,2014,purse_seines,0.995169341564,purse_seines
412371182,2016,purse_seines,0.999548465014,purse_seines
412926000,2014,purse_seines,0.999775111675,purse_seines
412328729,2013,purse_seines,0.999956786633,purse_seines
412420905,2016,drifting_longlines,0.999998807907,drifting_longlines
412420915,2016,drifting_longlines,1.0,drifting_longlines
412371192,2013,drifting_longlines,0.999970316887,drifting_longlines
412420796,2014,drifting_longlines,0.999999821186,drifting_longlines
412695650,2015,,,drifting_longlines
412329416,2014,drifting_longlines,1.0,drifting_longlines
412679180,2012,drifting_longlines,0.999997496605,drifting_longlines
412679240,2016,drifting_longlines,1.0,drifting_longlines
412331027,2015,drifting_longlines,1.0,drifting_longlines
412326877,2016,drifting_longlines,0.997375696898,drifting_longlines
412371206,2015,drifting_longlines,0.99978095293,drifting_longlines
412420197,2015,drifting_longlines,1.0,drifting_longlines
412695630,2012,drifting_longlines,0.999998807907,drifting_longlines
412440029,2016,drifting_longlines,0.999999940395,drifting_longlines
412695560,2016,drifting_longlines,0.999999940395,drifting_longlines
412331032,2015,drifting_longlines,0.999999940395,drifting_longlines
412326798,2014,,,drifting_longlines
412695580,2013,drifting_longlines,0.999999940395,drifting_longlines
412371191,2015,drifting_longlines,0.999885112047,drifting_longlines
412331014,2016,,,drifting_longlines
412326877,2015,drifting_longlines,1.0,drifting_longlines
412370006,2015,,,drifting_longlines
412695630,2014,drifting_longlines,0.999989926815,drifting_longlines
412270059,2016,drifting_longlines,1.0,drifting_longlines
412331026,2016,drifting_longlines,1.0,drifting_longlines
412679180,2013,drifting_longlines,0.524053039029,drifting_longlines
412699510,2016,drifting_longlines,0.550303354859,drifting_longlines
412420862,2014,drifting_longlines,1.0,drifting_longlines
412331031,2014,drifting_longlines,1.0,drifting_longlines
412420239,2015,drifting_longlines,1.0,drifting_longlines
412320019,2012,,,drifting_longlines
412685210,2016,drifting_longlines,0.999998509884,drifting_longlines
412331014,2014,,,drifting_longlines
412371191,2016,drifting_longlines,1.0,drifting_longlines
412420876,2015,drifting_longlines,1.0,drifting_longlines
412209183,2015,drifting_longlines,1.0,drifting_longlines
412329416,2015,drifting_longlines,0.999997913837,drifting_longlines
412370008,2014,drifting_longlines,0.999994516373,drifting_longlines
412676580,2014,drifting_longlines,0.999862402678,drifting_longlines
412371198,2014,drifting_longlines,1.0,drifting_longlines
412331029,2015,,,drifting_longlines
412679230,2016,drifting_longlines,0.999999940395,drifting_longlines
412460296,2015,drifting_longlines,1.0,drifting_longlines
412329461,2016,drifting_longlines,0.999999940395,drifting_longlines
412460279,2014,passenger,0.376258555043,drifting_longlines
412331063,2016,drifting_longlines,1.0,drifting_longlines
412420914,2015,drifting_longlines,0.999999940395,drifting_longlines
413011000,2014,,,drifting_longlines
412420914,2016,drifting_longlines,1.0,drifting_longlines
412420915,2015,drifting_longlines,0.999999701977,drifting_longlines
412420915,2014,drifting_longlines,0.999987721443,drifting_longlines
412371208,2016,drifting_longlines,0.999999940395,drifting_longlines
412320019,2016,drifting_longlines,0.999996840954,drifting_longlines
412328714,2015,drifting_longlines,1.0,drifting_longlines
412420911,2014,drifting_longlines,0.999962925911,drifting_longlines
412460279,2015,drifting_longlines,0.999998033047,drifting_longlines
412201817,2015,drifting_longlines,0.999999880791,drifting_longlines
412326798,2015,drifting_longlines,0.999996066093,drifting_longlines
412326882,2015,drifting_longlines,1.0,drifting_longlines
412371197,2014,drifting_longlines,1.0,drifting_longlines
412371207,2016,drifting_longlines,0.99999910593,drifting_longlines
412302021,2015,drifting_longlines,1.0,drifting_longlines
412420851,2015,drifting_longlines,1.0,drifting_longlines
412320019,2013,,,drifting_longlines
