"mmsi","treated","gear","flag"
431798000,FALSE,"drifting_longlines","JPN"
432261000,FALSE,"purse_seines","JPN"
432388000,FALSE,"drifting_longlines","JPN"
432984000,FALSE,"drifting_longlines","JPN"
440045000,TRUE,"drifting_longlines","KOR"
440053000,TRUE,"purse_seines","KOR"
440055000,TRUE,"drifting_longlines","KOR"
440089000,TRUE,"drifting_longlines","KOR"
440104000,TRUE,"purse_seines","KOR"
440195000,TRUE,"purse_seines","KOR"
440226000,FALSE,"purse_seines","KOR"
440233000,TRUE,"purse_seines","KOR"
440236000,TRUE,"drifting_longlines","KOR"
440239000,TRUE,"drifting_longlines","KOR"
440246000,TRUE,"drifting_longlines","KOR"
440280000,FALSE,"drifting_longlines","KOR"
440298000,FALSE,"drifting_longlines","KOR"
440444000,TRUE,"purse_seines","KOR"
440450000,TRUE,"purse_seines","KOR"
440479000,TRUE,"purse_seines","KOR"
440492000,TRUE,"purse_seines","KOR"
440503000,TRUE,"drifting_longlines","KOR"
440504000,TRUE,"drifting_longlines","KOR"
440517000,TRUE,"drifting_longlines","KOR"
440522000,TRUE,"drifting_longlines","KOR"
440542000,TRUE,"purse_seines","KOR"
440549000,TRUE,"drifting_longlines","KOR"
440552000,TRUE,"purse_seines","KOR"
440574000,TRUE,"drifting_longlines","KOR"
440575000,TRUE,"purse_seines","KOR"
440584000,TRUE,"drifting_longlines","KOR"
440590000,TRUE,"drifting_longlines","KOR"
440595000,TRUE,"drifting_longlines","KOR"
440604000,TRUE,"drifting_longlines","KOR"
440612000,TRUE,"drifting_longlines","KOR"
440617000,TRUE,"drifting_longlines","KOR"
440620000,TRUE,"drifting_longlines","KOR"
440623000,TRUE,"drifting_longlines","KOR"
440624000,TRUE,"drifting_longlines","KOR"
440628000,TRUE,"drifting_longlines","KOR"
440636000,TRUE,"drifting_longlines","KOR"
440641000,TRUE,"drifting_longlines","KOR"
440645000,TRUE,"drifting_longlines","KOR"
440646000,TRUE,"drifting_longlines","KOR"
440647000,TRUE,"drifting_longlines","KOR"
440648000,TRUE,"drifting_longlines","KOR"
440654000,TRUE,"drifting_longlines","KOR"
440656000,TRUE,"drifting_longlines","KOR"
440671000,TRUE,"purse_seines","KOR"
440703000,TRUE,"drifting_longlines","KOR"
440704000,TRUE,"drifting_longlines","KOR"
440705000,TRUE,"drifting_longlines","KOR"
440731000,FALSE,"drifting_longlines","KOR"
440733000,TRUE,"drifting_longlines","KOR"
440751000,TRUE,"drifting_longlines","KOR"
440765000,TRUE,"drifting_longlines","KOR"
440770000,TRUE,"drifting_longlines","KOR"
440772000,FALSE,"drifting_longlines","KOR"
440773000,TRUE,"drifting_longlines","KOR"
440780000,TRUE,"drifting_longlines","KOR"
440781000,TRUE,"drifting_longlines","KOR"
440782000,TRUE,"drifting_longlines","KOR"
440787000,TRUE,"drifting_longlines","KOR"
440788000,TRUE,"drifting_longlines","KOR"
440792000,TRUE,"drifting_longlines","KOR"
440801000,TRUE,"drifting_longlines","KOR"
440807000,TRUE,"drifting_longlines","KOR"
440809000,TRUE,"drifting_longlines","KOR"
440820000,TRUE,"drifting_longlines","KOR"
440821000,TRUE,"drifting_longlines","KOR"
440822000,FALSE,"purse_seines","KOR"
440823000,TRUE,"purse_seines","KOR"
440846000,TRUE,"drifting_longlines","KOR"
440858000,TRUE,"drifting_longlines","KOR"
440885000,FALSE,"drifting_longlines","KOR"
440886000,TRUE,"drifting_longlines","KOR"
440894000,TRUE,"drifting_longlines","KOR"
440895000,TRUE,"drifting_longlines","KOR"
440900000,TRUE,"drifting_longlines","KOR"
440919000,TRUE,"drifting_longlines","KOR"
440920000,TRUE,"drifting_longlines","KOR"
440926000,TRUE,"drifting_longlines","KOR"
440931000,TRUE,"drifting_longlines","KOR"
440933000,TRUE,"drifting_longlines","KOR"
440934000,FALSE,"drifting_longlines","KOR"
440935000,TRUE,"drifting_longlines","KOR"
