country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 Australia ,"4,769,244","1,007,229","2,715,727","2,118,855","387,658","33,814","378,484","169,157",0,0,0,0,"26,973",0,0,0,0,0,0,0
 Cook Islands ,"291,484",0,"201,497","262,049","1,218,206","3,296,193",0,0,0,"12,495",0,"1,562,524","911,914","338,983","2,387,716","27,642,589","17,661,437","17,600,972","22,181,582","10,282,352"
 Fiji ,0,0,"470,520","273,731",0,0,"14,375","454,392","403,342","36,434","238,790","804,932","461,667","1,512,137","799,274","1,128,138","345,128",0,"2,577,222","2,179,642"
Federal States of Micronesia,"100,441,444","83,241,829","147,749,090","86,717,252","78,828,719","70,681,715","164,411,486","144,598,531","213,853,296","201,633,389","210,964,469","245,199,649","159,209,638","209,378,298","290,637,349","396,038,415","426,657,952","212,457,647","226,637,382","310,216,639"
 Kiribati ,"244,895,255","160,362,854","111,806,024","89,439,893","231,641,812","283,885,655","68,271,689","88,981,055","198,350,714","162,112,346","247,230,842","401,584,087","353,147,874","235,105,973","334,418,885","1,159,074,039","586,630,305","1,040,016,160","767,926,078","607,481,883"
 Marshall Islands ,"326,006","88,877,464","20,874,938","15,990,211","33,251,163","25,567,311","3,340,817","14,246,853","17,452,428","15,068,581","17,937,967","44,199,441","15,792,522","22,780,505","38,022,515","51,195,427","84,062,272","114,107,419","42,143,575","128,904,355"
 Nauru ,"33,549,692","55,157,254","43,320,735","49,029,239","59,345,629","104,845,350","17,240,588","59,762,663","48,861,302","56,506,352","91,105,264","110,890,539","74,494,081","144,695,456","179,061,328","110,586,207","342,810,699","265,705,750","86,348,194","195,165,834"
 New Zealand ,"7,356,027","8,297,631","4,025,319","6,019,604","3,195,955","3,888,423","2,370,953","8,972,546","9,198,523","4,997,816","12,660,119","14,033,485","4,842,257","9,058,440","17,873,096","17,959,211","27,762,401","15,579,437","4,384,719","4,952,828"
 Niue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,"206,272,821","179,706,674","83,511,056","180,999,939","139,852,725","153,751,170","339,387,656","325,830,366","326,432,008","463,797,967","677,718,776","879,363,490","605,624,492","1,023,244,790","1,163,915,306","1,284,464,902","1,234,863,505","547,244,765","262,651,384","490,711,570"
 Palau ,"2,357,142",0,"116,169","58,504",0,0,"3,381,247","4,754,325","2,374,446","4,904,595","677,950","8,010,492","1,516,909","532,257",0,"1,809,383","541,650","6,503,193","252,128","5,985,125"
 Samoa ,0,0,"212,103","114,870",0,"75,945",0,0,0,0,"5,058","222,994","145,283","363,682","1,385,414","1,935,948","67,320","399,022","1,499,224","3,657,822"
 Solomon  Islands ,"51,259,611","174,210,210","20,976,024","4,106,557","28,106,159","8,306,012","43,821,927","104,924,296","90,043,905","113,578,047","149,374,243","216,461,124","147,350,229","213,760,348","286,398,449","169,138,049","233,027,636","92,152,742","132,423,747","251,794,167"
 Tokelau ,"124,538","2,076,475","1,521,604","3,708,376","952,164","5,504,159","66,399","967,667","4,287,674","1,081,892","1,199,049","6,735,461","8,552,071","5,112,610","32,648,311","43,108,951","33,378,569","37,577,831","55,818,258","7,922,630"
 Tonga ,0,0,"26,846",0,"20,351",0,0,0,0,0,0,0,0,0,0,0,"32,786",0,"126,260","1,081,796"
 Tuvalu ,"8,390,741","44,579,995","27,004,087","25,779,146","17,656,130","23,450,010","3,032,169","18,561,615","13,299,474","14,616,776","57,739,634","69,196,749","74,307,400","83,112,369","98,576,780","141,575,856","109,356,017","139,141,361","97,060,118","145,382,950"
 Vanuatu ,0,"64,996",0,"173,080",0,"53,810",0,"220,751",0,0,0,"262,018",0,0,"107,630","442,566",0,0,"68,267",0
